id,original_language,popularity,release_date,runtime,title,vote_average,vote_count,release_year,release_month,release_dow,budget_2023,revenue_2023,director,star_power_index,star_power_index_log,roi,director_track_record,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science_fiction,genre_thriller,genre_war,genre_western,genre_diversity,genre_count,is_franchise,is_adaptation,is_summer,is_holiday,is_award_season,is_weekend_release,month_sin,month_cos,log_budget,is_major_studio,budget_vs_genre_avg,log_popularity,log_vote_count,buzz_score,weighted_rating,rating_confidence,action_x_budget,franchise_x_star,director_x_budget,buzz_x_rating,is_peak_season,competition_proxy,y_revenue,success_category,y_class
49529,en,43.926995,2012-03-07,132.0,John Carter,6.1,2124,2012,3,2,362440000.0,396089905.4,Andrew Stanton,4164128831.236,22.14977292675846,1.0928426923076922,1.4793859677806767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6,3,1,1,0,0,0,0,1.0,6.123233995736766e-17,19.70836950407721,1,3.7853605678465554,3.805038839029222,7.661527081358517,29.152408110843353,5.825719424460432,1.8138343296327926,19.70836950407721,22.14977292675846,29.15628529216844,169.83375020113795,0,0,19.797151779813536,Flop,0
38757,en,48.681969,2010-11-24,100.0,Tangled,7.4,3330,2010,11,2,382460000.0,870530350.8560001,Byron Howard,5806604789.358,22.48226186356517,2.2761343692307694,2.2761343692307694,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,2,0,0,0,1,1,0,-0.5000000000000004,0.8660254037844384,19.762134633213755,1,2.941785316210366,3.9056420704952255,8.11102783819368,31.678771559807178,7.184256559766764,2.8437233134073443,0.0,0.0,44.981273848023534,227.58842238389752,1,0,20.584613183716883,Average,1
10764,en,107.928811,2008-10-30,106.0,Quantum of Solace,6.1,2965,2008,10,3,298000000.0,873275183.23,Marc Forster,7426297632.332999,22.72829327179753,2.930453635,3.169065094426234,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8,4,0,0,0,0,1,0,-0.8660254037844386,0.5000000000000001,19.512604047825384,0,2.299633458737977,4.690694558768097,7.994969522697877,37.501960037635705,5.900978792822186,2.5320239111870197,19.512604047825384,0.0,61.83671238932347,221.2982708713534,0,0,20.587761280891815,Average,1
57201,en,49.046956,2013-07-03,149.0,The Lone Ranger,5.9,2311,2013,7,2,350880000.0,122862916.16,Gore Verbinski,11780156275.481,23.18968228133661,0.35015650980392155,1.0240712659351756,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,3,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388,19.67595484548383,1,3.664626741104733,3.912961684730849,7.7458682297922685,30.309285598151114,5.655288262131896,1.973526900085397,19.67595484548383,0.0,20.14957998709798,171.40774707682732,1,0,18.626579797191578,Flop,0
49521,en,99.398009,2013-06-12,143.0,Man of Steel,6.5,6359,2013,6,2,309600000.0,912075432.7679999,Zack Snyder,8249087055.907998,22.83336837140103,2.9459800799999996,2.595188766525655,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8,4,1,1,1,0,0,0,1.2246467991473532e-16,-1.0,19.55079170290982,1,3.2334941833277053,4.609142376383708,8.757783656334167,40.36587177361046,6.399365226815297,5.0,19.55079170290982,22.83336837140103,50.73799500407455,258.31595617812786,1,0,20.63123325708303,Average,1
2454,en,53.978602,2008-05-15,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,2008,5,3,335250000.0,625280605.37,Andrew Adamson,2715178159.4230003,21.722123408961313,1.8651173911111112,2.554936769365153,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,3,1,1,1,0,0,0,0.49999999999999994,-0.8660254037844387,19.63038708310891,0,2.587087641080224,4.006944054985661,7.396948602621014,29.639159228306763,5.935838150289017,1.3919726729291204,0.0,21.722123408961313,50.15439775550571,175.93325208987406,1,0,20.253711077135716,Average,1
41154,en,52.035179,2012-05-23,106.0,Men in Black 3,6.2,4160,2012,5,2,313650000.0,869893325.744,Barry Sonnenfeld,19608909531.539,23.699249867884838,2.7734523377777776,2.7133094869936873,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6,3,0,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,19.563788275695295,0,3.2757927990979807,3.9709554480813694,8.333510708982942,33.09199975148025,6.054460093896713,3.552519214346712,19.563788275695295,0.0,53.082612329979916,200.35419192257714,1,0,20.583881149157392,Average,1
1930,en,89.866276,2012-06-27,136.0,The Amazing Spider-Man,6.5,6586,2012,6,2,299710000.0,1048588904.6579999,Marc Webb,9484389740.538,22.972913098942282,3.4986784046511623,4.230925785270872,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6,3,1,0,1,0,0,0,1.2246467991473532e-16,-1.0,19.51832590176683,1,3.1302020080269592,4.509388931245389,8.792853288640693,39.65039529386095,6.402781932396051,5.0,19.51832590176683,22.972913098942282,82.58058834310563,253.87283459989433,1,0,20.770711197899875,Hit,2
20662,en,37.668301,2010-05-12,140.0,Robin Hood,6.2,1398,2010,5,2,294200000.0,456994893.34000003,Ridley Scott,12302681502.04,23.233083083941647,1.5533477000000002,2.182937850472078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2,0,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,19.49977036953066,1,3.0726550023740664,3.6550201687863995,7.243512974665482,26.475186015268303,5.78611481975968,1.1938514090520922,19.49977036953066,0.0,42.566786815162374,153.18846615883817,1,0,19.94018277667353,Average,1
2268,en,42.990906,2007-12-04,113.0,The Golden Compass,5.8,1303,2007,12,1,277740000.0,574358395.152,Chris Weitz,9796687481.522997,23.00531015349656,2.0679714666666666,5.527134452586285,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,2,0,0,0,1,1,0,-2.4492935982947064e-16,1.0,19.442195985835998,1,2.143289251106999,3.783982930738449,7.1731917424865985,27.143235112483282,5.386600142551675,1.112724167378309,0.0,0.0,107.45963126724892,146.20975412621607,1,0,20.168764142977608,Average,1
254,en,61.22601,2005-12-14,187.0,King Kong,6.6,2337,2005,12,2,338859000.0,900350000.0,Peter Jackson,13271853200.86,23.30891132903348,2.657004830917874,2.3342294855420676,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6,3,0,0,0,1,1,0,-2.4492935982947064e-16,1.0,19.64109465256972,1,2.614937899981517,4.130773079540168,7.757051142032013,32.04261803412216,6.329175215428806,1.995730145175064,19.64109465256972,0.0,45.84682226635087,202.80334389901805,1,1,20.61829413569047,Average,1
44833,en,64.928382,2012-04-11,131.0,Battleship,5.5,2114,2012,4,2,291346000.0,422417526.09,Peter Berg,3718788471.415,22.036663772728062,1.4498827033492823,2.199166945697239,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.8,4,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,19.490022125699763,1,4.775682151721789,4.188569031644029,7.656810091480378,32.071077630354196,5.251580849141825,1.8052946199829205,19.490022125699763,0.0,42.86181242974676,168.42385709490887,0,0,19.861504783553237,Flop,0
36668,en,3.857526,2006-05-24,104.0,X-Men: The Last Stand,6.3,3525,2006,5,2,333690000.0,729922332.895,Brett Ratner,17887552990.719,23.607370944324607,2.187426452380952,2.11465393683755,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.8,4,1,1,1,0,0,0,0.49999999999999994,-0.8660254037844387,19.625722979233114,0,2.575049291430455,1.58052925480274,8.167919362957816,12.909635504024589,6.126206896551724,3.010247651579846,19.625722979233114,23.607370944324607,41.50161236131847,79.08709805672443,1,0,20.408448694522033,Average,1
62211,en,89.186492,2013-06-20,104.0,Monsters University,7.0,3528,2013,6,3,275200000.0,1023138019.2319999,Dan Scanlon,17178350620.731003,23.566915743173713,3.7177980349999995,3.7177980349999995,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,2,0,0,1,0,0,0,1.2246467991473532e-16,-1.0,19.433008667657184,1,2.1167686006931254,4.501879659756453,8.16876982367527,36.774818714436,6.807056229327453,3.012809564474808,0.0,0.0,72.24800143875383,250.3282588124894,1,0,20.74614023195323,Hit,2
68728,en,46.985445,2013-03-07,130.0,Oz: The Great and Powerful,5.7,3530,2013,3,3,275200000.0,676811122.048,Sam Raimi,9579263552.874,22.982866552683465,2.45934274,2.471007954633117,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,3,0,0,0,0,0,0,1.0,6.123233995736766e-17,19.433008667657184,1,2.69142452554471,3.8708977357579646,8.169336395928386,31.622665757644324,5.54297520661157,3.014517506404782,0.0,0.0,48.019119000235214,175.28365226158715,0,0,20.33290280088483,Average,1
102382,en,89.270217,2014-04-16,142.0,The Amazing Spider-Man 2,6.5,4179,2014,4,2,270400000.0,954129968.064,Marc Webb,12930852818.247997,23.282881984186844,3.52858716,4.029471887109766,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6,3,1,1,0,0,0,0,0.8660254037844387,-0.4999999999999998,19.415412905831307,1,2.8240853590820785,4.502807583206587,8.338066525518801,37.54470918038706,6.348095349380697,3.568744662681469,19.415412905831307,23.282881984186844,78.23386048067539,238.33739374186584,0,0,20.676310456049432,Hit,2
20526,en,73.79505,2010-12-10,125.0,TRON: Legacy,6.3,2841,2010,12,4,250070000.0,588492324.373,Joseph Kosinski,6361059962.359001,22.57346086131756,2.3533103705882352,2.359595920241914,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6,3,0,0,0,1,1,1,-2.4492935982947064e-16,1.0,19.337251440632716,1,1.9297628826396171,4.314751706320084,7.952263308657046,34.31204168013459,6.085787147228833,2.426131511528608,19.337251440632716,0.0,45.62809960800903,208.81578225214312,1,0,20.19307444358212,Average,1
49013,en,49.98659,2011-06-11,106.0,Cars 2,5.8,2033,2011,6,5,284600000.0,796669959.508,John Lasseter,15301839594.158,23.451238893094803,2.7992619800000003,3.530726224936106,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8,4,1,0,1,0,0,1,1.2246467991473532e-16,-1.0,19.46659524713373,1,2.189071016559824,3.9315626569727633,7.617759576608505,29.949699081190648,5.528082512892639,1.7361229718189581,0.0,23.451238893094803,68.73121834927161,165.56440775712676,1,0,20.495951048742043,Average,1
